Student_ID,First_Name,Last_Name,Gender,Date_of_Birth,Admission_Date,Class_Section,Class_Level,Religion,Tribe,State_of_Origin,Parent_Name,Parent_Occupation,Parent_Income,Academic_Performance,Attendance_Rate,Special_Needs
99733,Gbenga,Ogunleye,Male,1990-03-16,2016-01-19,D,SS1,Islam,Yoruba,Ondo,Abdullahi Ogunleye,Surveyor building control,300754,42,77.45079265,Yes
52504,Femi,Tunde,Male,1997-01-15,2019-05-12,D,SS2,Christianity,Yoruba,Ogun,Paul Tunde,Minerals surveyor,300994,86,21.35958421,Yes
17331,Tunde,Damilola,Male,2004-12-23,2016-12-28,B,SS1,Islam,Yoruba,Osun,Umar Damilola,Accountant chartered public finance,162261,8,51.29625738,Yes
40021,Seun,Bamidele,Male,2011-12-21,2016-02-11,D,SS2,Islam,Yoruba,Osun,Abdullahi Bamidele,Publishing rights manager,101929,16,95.74426514,Yes
14207,Ade,Akinloye,Female,2000-06-09,2017-06-17,C,SS2,Islam,Yoruba,Oyo,Abdullahi Akinloye,Designer jewellery,140396,17,45.48169815,No
51347,Bisi,Ogunleye,Male,1987-11-06,2020-01-22,C,SS3,Islam,Yoruba,Osun,Amina Ogunleye,Local government officer,253349,80,98.8179069,No
62581,Tola,Oluwatoyin,Female,1988-06-23,2019-11-30,C,SS3,Christianity,Yoruba,Ogun,Grace Oluwatoyin,Chiropodist,339948,19,55.84491488,No
45093,Opeyemi,Funmilayo,Female,1989-04-05,2019-06-12,B,SS1,Islam,Yoruba,Osun,Umar Funmilayo,Public affairs consultant,382082,94,86.25736108,Yes
18675,Adebayo,Jumoke,Female,1990-07-06,2020-02-21,A,SS2,Christianity,Yoruba,Lagos,John Jumoke,Statistician,378744,78,73.32331361,No
37653,Segun,Funmilayo,Female,2003-12-28,2018-07-29,D,SS1,Islam,Yoruba,Ondo,Fatimah Funmilayo,Nurse mental health,333851,88,44.86841674,No
84341,Segun,Adewunmi,Male,2011-05-27,2019-01-25,B,SS3,Islam,Yoruba,Osun,Amina Adewunmi,Engineer petroleum,471459,25,41.59741524,No
51245,Olu,Ifeoluwa,Male,1991-08-07,2019-05-12,A,SS2,Christianity,Yoruba,Osun,Mary Ifeoluwa,Public house manager,87181,9,72.89109774,No
37869,Ajoke,Segun,Female,1989-08-12,2018-07-29,D,SS2,Islam,Yoruba,Lagos,Abdullahi Segun,Mudlogger,126604,89,46.01704259,Yes
95909,Mayowa,Kunle,Female,1986-11-25,2016-09-29,A,SS3,Christianity,Yoruba,Osun,Joseph Kunle,Psychologist educational,399743,63,23.73784801,No
75435,Kehinde,Adebayo,Male,1989-03-03,2017-01-23,D,SS1,Christianity,Yoruba,Ondo,Grace Adebayo,Financial manager,116561,48,21.70198124,Yes
61856,Olu,Afolayan,Female,2005-10-30,2017-02-23,C,SS3,Islam,Yoruba,Ondo,Umar Afolayan,Chief Operating Officer,499758,33,98.520857,Yes
94259,Taiwo,Tayo,Female,2010-03-17,2016-02-13,D,SS1,Christianity,Yoruba,Osun,John Tayo,Naval architect,317317,91,96.07534009,Yes
70142,Kunle,Kunle,Male,2002-04-21,2017-08-15,D,SS1,Christianity,Yoruba,Osun,Paul Kunle,Conservation officer historic buildings,126232,50,65.92610441,No
28726,Ayo,Adeyemi,Female,1984-11-06,2016-12-13,B,SS2,Christianity,Yoruba,Oyo,John Adeyemi,Investment banker corporate,448730,90,49.77368146,No
44718,Yinka,Afolayan,Male,2011-12-20,2016-02-19,B,SS3,Christianity,Yoruba,Ogun,John Afolayan,Contracting civil engineer,85648,7,99.80108095,Yes
28301,Damola,Akinloye,Female,2008-07-21,2017-08-07,B,SS1,Islam,Yoruba,Ogun,Fatimah Akinloye,Office manager,300446,46,86.70711129,No
42325,Femi,Akinloye,Male,2001-09-03,2016-03-24,C,SS2,Islam,Yoruba,Lagos,Umar Akinloye,Journalist newspaper,319161,16,49.77980536,Yes
83579,Adeola,Yemi,Male,1998-09-11,2017-10-12,C,SS3,Islam,Yoruba,Ondo,Amina Yemi,Heritage manager,88058,11,87.06333299,No
80644,Mayowa,Adelaja,Female,2004-12-07,2020-02-03,D,SS3,Islam,Yoruba,Lagos,Fatimah Adelaja,Photographer,346829,62,34.26062466,No
44438,Kunle,Oladipo,Male,2001-09-13,2017-03-26,B,SS2,Islam,Yoruba,Lagos,Fatimah Oladipo,Therapist speech and language,136367,12,66.11907822,Yes
86622,Kunle,Bamidele,Male,1985-06-28,2018-01-21,C,SS1,Islam,Yoruba,Lagos,Fatimah Bamidele,Nurse mental health,179534,56,52.59744847,Yes
66155,Ife,Adewunmi,Female,1992-11-21,2019-09-15,C,SS2,Islam,Yoruba,Osun,Amina Adewunmi,Social research officer government,378697,89,84.68823975,Yes
86484,Oluwaseun,Jide,Male,2005-11-08,2020-07-31,D,SS3,Christianity,Yoruba,Ogun,Grace Jide,Building surveyor,445005,95,69.61523164,Yes
62350,Morenike,Akinloye,Male,1985-04-17,2017-08-16,D,SS2,Christianity,Yoruba,Lagos,John Akinloye,Loss adjuster chartered,266797,9,62.03629863,No
57447,Adebayo,Akinloye,Female,1991-07-13,2016-09-24,A,SS2,Islam,Yoruba,Ogun,Amina Akinloye,Records manager,490281,31,67.52007506,Yes
38746,Abiola,Femi,Female,1986-05-05,2018-07-23,A,SS3,Christianity,Yoruba,Lagos,Grace Femi,Theatre director,378006,78,42.54450598,No
28131,Opeyemi,Tola,Male,1989-09-19,2019-12-10,D,SS2,Christianity,Yoruba,Ogun,Grace Tola,Aid worker,239646,70,13.2849486,No
76784,Tunde,Tayo,Male,2007-09-09,2017-04-05,A,SS3,Christianity,Yoruba,Lagos,Grace Tayo,Environmental education officer,168144,98,97.74705033,Yes
74686,Bisi,Adeniyi,Female,2002-10-03,2020-01-12,C,SS1,Christianity,Yoruba,Ondo,Paul Adeniyi,Transport planner,484097,100,19.79677903,No
21915,Bisi,Bamidele,Female,1999-07-30,2019-08-03,D,SS3,Christianity,Yoruba,Osun,Mary Bamidele,Editor magazine features,187609,73,55.92339022,Yes
16175,Olu,Akinyemi,Male,1994-04-04,2016-03-08,D,SS2,Christianity,Yoruba,Lagos,John Akinyemi,Farm manager,263066,52,55.05386919,Yes
24371,Mayowa,Akinloye,Male,1995-02-25,2016-12-27,B,SS2,Islam,Yoruba,Osun,Fatimah Akinloye,Merchandiser retail,81285,28,53.50353658,No
30033,Gbenga,Taiwo,Male,1987-05-13,2017-05-31,C,SS3,Islam,Yoruba,Oyo,Fatimah Taiwo,Medical illustrator,444459,55,37.12034641,Yes
92240,Kunle,Tunde,Male,2005-11-03,2017-04-18,C,SS3,Islam,Yoruba,Oyo,Umar Tunde,Librarian public,276424,42,23.10169795,No
30969,Gbenga,Afolayan,Male,2005-04-20,2019-10-15,B,SS3,Islam,Yoruba,Oyo,Fatimah Afolayan,Retail banker,72496,33,31.17641321,Yes
99192,Yomi,Yemi,Female,1990-12-24,2020-02-15,A,SS1,Christianity,Yoruba,Osun,Mary Yemi,Accommodation manager,218027,54,87.76849743,Yes
65333,Bisi,Ifeoluwa,Male,1986-05-28,2020-01-04,D,SS1,Islam,Yoruba,Ogun,Amina Ifeoluwa,Tree surgeon,459275,92,83.05255233,No
88172,Ajoke,Ifeoluwa,Male,1992-09-13,2016-03-01,A,SS2,Christianity,Yoruba,Lagos,Grace Ifeoluwa,Tour manager,256899,84,37.6839577,Yes
18326,Ayotunde,Taiwo,Male,2004-01-30,2019-10-28,C,SS2,Christianity,Yoruba,Lagos,Joseph Taiwo,Occupational therapist,64504,18,37.65147057,Yes
60432,Femi,Adeyemi,Female,1985-05-17,2020-12-23,A,SS3,Christianity,Yoruba,Oyo,Grace Adeyemi,Careers adviser,150980,14,47.73485258,Yes
60019,Kunle,Bamidele,Male,1989-08-01,2018-01-23,C,SS3,Christianity,Yoruba,Osun,Joseph Bamidele,Event organiser,402141,67,76.50286315,No
88104,Damilola,Adebayo,Female,1993-10-24,2017-09-17,D,SS2,Islam,Yoruba,Osun,Umar Adebayo,Corporate investment banker,430892,76,44.05633278,Yes
71348,Yemi,Oluwatoyin,Female,1999-07-14,2018-07-05,D,SS2,Islam,Yoruba,Lagos,Umar Oluwatoyin,Restaurant manager,245917,35,23.71243414,Yes
79352,Opeyemi,Afolayan,Male,1998-05-02,2020-11-04,D,SS1,Islam,Yoruba,Oyo,Amina Afolayan,Emergency planning/management officer,254879,43,19.94165609,Yes
42953,Yomi,Segun,Male,1994-03-04,2019-05-02,B,SS1,Christianity,Yoruba,Lagos,Mary Segun,Armed forces operational officer,285839,49,17.81925842,No
82512,Yemi,Ifeoluwa,Female,2003-12-21,2016-06-07,B,SS1,Christianity,Yoruba,Ogun,John Ifeoluwa,Engineer mining,367947,78,81.15669152,Yes
11504,Mayowa,Yomi,Female,2005-06-09,2018-11-03,B,SS3,Islam,Yoruba,Lagos,Fatimah Yomi,Immigration officer,488500,9,48.9541271,Yes
99166,Kunle,Afolayan,Female,1993-05-26,2016-01-25,D,SS1,Islam,Yoruba,Lagos,Fatimah Afolayan,Presenter broadcasting,167818,50,32.75000374,Yes
25014,Bamidele,Tayo,Female,2006-08-05,2016-11-14,D,SS2,Islam,Yoruba,Oyo,Abdullahi Tayo,Chief Financial Officer,442486,64,76.4429312,No
99353,Ade,Bamidele,Female,2002-11-16,2019-09-03,A,SS3,Christianity,Yoruba,Lagos,John Bamidele,Librarian academic,116755,2,42.06522953,No
80381,Mayowa,Akinyemi,Male,1988-03-08,2019-07-15,C,SS3,Islam,Yoruba,Oyo,Amina Akinyemi,Music tutor,301325,8,42.12254839,No
44973,Bisi,Kunle,Male,2002-03-30,2020-03-20,B,SS1,Islam,Yoruba,Osun,Amina Kunle,Education administrator,372382,5,61.73488454,Yes
94012,Biodun,Femi,Male,2002-04-15,2020-12-02,D,SS1,Christianity,Yoruba,Lagos,Mary Femi,Physicist medical,464432,78,25.48607842,Yes
54587,Yemi,Adeniyi,Male,1995-05-27,2020-09-18,D,SS2,Christianity,Yoruba,Ogun,Grace Adeniyi,Dentist,317149,85,97.29069021,Yes
24621,Kemisola,Bisi,Female,2010-06-25,2018-06-22,C,SS3,Islam,Yoruba,Ogun,Umar Bisi,Higher education careers adviser,263139,85,69.39323293,No
48469,Kehinde,Taiwo,Male,1993-10-06,2016-04-25,B,SS1,Christianity,Yoruba,Lagos,John Taiwo,Insurance risk surveyor,388711,75,34.87710492,No
66985,Bamidele,Ayoade,Male,1997-07-28,2020-02-23,B,SS1,Islam,Yoruba,Oyo,Fatimah Ayoade,Naval architect,446062,40,35.47494171,No
30730,Biodun,Tola,Male,1988-09-26,2019-05-26,A,SS1,Islam,Yoruba,Ondo,Amina Tola,Quarry manager,383103,19,83.65242964,Yes
69470,Taiwo,Adelaja,Male,1983-03-02,2020-02-19,D,SS3,Christianity,Yoruba,Ondo,Paul Adelaja,Animal nutritionist,132462,40,78.97734404,No
10425,Segun,Oladipo,Male,1993-08-28,2020-05-13,A,SS2,Christianity,Yoruba,Oyo,John Oladipo,Games developer,176531,69,19.09678139,No
44522,Bisi,Tola,Male,1991-05-18,2020-02-24,D,SS3,Islam,Yoruba,Osun,Fatimah Tola,Pharmacist community,364037,76,73.92317075,Yes
75612,Kehinde,Bamidele,Male,2009-09-24,2017-12-21,C,SS2,Christianity,Yoruba,Oyo,Paul Bamidele,Editorial assistant,323289,34,54.37518596,Yes
33416,Bamidele,Ayoade,Male,1990-07-16,2016-07-07,A,SS1,Christianity,Yoruba,Ogun,John Ayoade,Development worker community,200799,24,27.60083027,Yes
76542,Damilola,Akinwunmi,Male,2007-03-26,2020-06-29,D,SS1,Christianity,Yoruba,Oyo,Joseph Akinwunmi,Occupational therapist,310641,8,59.53881135,No
23947,Ade,Yomi,Female,2008-03-04,2016-02-29,B,SS2,Christianity,Yoruba,Lagos,Paul Yomi,Scientist forensic,455326,39,57.80767749,Yes
91959,Ayo,Segun,Male,2004-10-21,2019-08-04,C,SS1,Christianity,Yoruba,Oyo,John Segun,Claims inspector/assessor,89350,50,51.72393801,No
